MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_197,122.9319358858117,0,0,0,0,0,1388.1255336562401
MAG_198,0,0,0,0,0,158.22457985971403,4450.108569421606
MAG_199,0,0,0,9.581215510694138,0,0,783.8718219760434
MAG_2,19.057567230839233,3.782756637394134,0.31294727976239334,1.0957526534005435,0,553.2280917769077,5.229233489419773
MAG_20,0,0,0,0,0,276.94610549534815,0.6377352682373741
MAG_200,653.5996537049222,386.557135385625,137.56375081986164,188.59011086459978,0,128010.39483040622,6262.59381477428
MAG_201,0,0,0,0,0,0,1133.801277494744
MAG_202,0,0,0,0,0,0,786.7875721553767
MAG_203,0,0,0,0,0,0,1851.3692343645127
MAG_204,175.64737748233864,0,0,0.1195532976800614,0,0,14902.49018925627
MAG_205,0,0,0,0,0,0,1149.5641562302815
MAG_206,250.1478785698114,0,0,0.28289862280052275,0,0,2622.321351040605
MAG_207,0,0,0,0,0,0,4979.841797664862
MAG_208,1011.558895254276,0,0,1.8869164013956836,0,0,5463.63663625253
MAG_209,46753.589794246574,153.75592173310366,5.78292635262316,0,0,912.2774635206582,11859.017530496378
MAG_21,0,0,0,0,0,770.1568910996089,4.4614660596839535
MAG_210,17538.55842501142,657.4530508823176,106.4503052241905,14.640229676398736,0,0,63473.99215529737
MAG_211,3.468367080057103,0,0.5400649772577816,0,0,5334.345101956165,12269.95758952396
MAG_212,2794.277918034947,454.2097745570519,0,0.060284606020871,0,156.00086012678713,1568.3060399758808
MAG_213,39058.584817805975,21947.04984374191,182.05097366748043,71566.2837391418,0,45.47042225373067,3645.0505941909646
MAG_214,653.6855072116615,247.3082302574253,7230.622761248099,9078.948226117369,0,15.730426011473535,1404.6429661917816
MAG_215,1470.933007137384,137.84177283633414,3.271142117811579,15.68020105692109,10928.649625990962,45.64570625746571,4472.3405921510175
MAG_216,149732.8068809148,3059.6629834708006,295.55417808091346,540.1990700998731,23202.92502723425,2500.868414132079,2411.2377481418525
MAG_217,1205.0766516659019,1012.602395658545,47.994144150873545,109.79659896746773,5330.272909070756,35.5761332431803,1374.141617402276
MAG_218,0.4949323225119886,0,0,0.06624173462869437,0,0,2273.3948012976293
MAG_219,8555.177560970807,16713.853599500188,121010.81713849543,252596.9790224002,0,27.367707433360874,1200.243379700536
MAG_22,61.99025163457431,91.46580176713293,0,3.331807338378166,0,3610.1299928397125,17.477390981030045
MAG_220,5.735783369639314,0,0,0,0,0,773.8845533689525
MAG_221,0,0,0,0,0,0,1178.850363699497
MAG_222,0,0,0,0,0,0,3259.719371409482
MAG_223,45.54681196018709,0,0,0,0,0,942.9989017148027
MAG_224,5.327273166204418,0,0.2175633505102652,0,0,0,1133.2179038887666
MAG_225,0,0,0,0,0,0,1241.7361249919336
MAG_226,0,0,0,0,0,0,790.8855312847766
MAG_227,71673.42056490362,14400.788228584184,363.32303313487336,448.6610473997078,142781.7750598245,11421.241329538518,22520.124135231727
MAG_228,0,0,0,0,0,0,8649.947517698705
MAG_229,5.23914379619552,0,0,0.007519583215544008,0,0,1421.679501866157
MAG_23,62.50306338463045,0,0,0.14069647800573234,0,657.6581660534405,2.3508286570814514
MAG_230,44716.25268827068,30984.915210706702,69532.15633398606,93224.01017329303,541702.5825892244,3189.269031793152,3130.2300680759126
MAG_231,0,0,0,0,0,0,825.2482364491444
MAG_232,146.9211789210177,0,3.117985903649699,1.720663695612121,0,0.03481410190601327,8902.912932821318
MAG_233,145.085383217104,0,25.988963509432104,1533.0806936061438,0,10.22410557587489,1359.7265743523951
MAG_234,0,0,2.247991666232034,5.911203257870808,2755.2793620065027,446900.7488991948,617991.7495986331
MAG_235,173.95349369624492,0,41.408172590150585,12.035552110585144,0,4336.122446125431,5228.40125903714
MAG_236,47.44612525746809,0,2.28948312680066,2.897059686204859,0,0,3418.2030958826863
MAG_237,0,0,10.413204806845922,65.6377019724955,0,69012.17331398763,21423.368426118304
MAG_238,3176.5134601621207,0,18.113654730394664,7.825747885110604,0,20282.343260979942,1886.0067111541741
MAG_239,0,0,0,0,0,0,774.0707423622794
