MAG,clean_MAG,contig
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_962360
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_469253
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1427286
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1101062
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1643427
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1762390
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1782806
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1282868
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_586174
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1111681
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_277091
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_554135
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1814789
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_659458
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1144003
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1284159
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1309781
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_817410
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1851024
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_751194
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1214088
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1214071
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_527001
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_995409
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_587785
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1801883
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_232926
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_623557
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1573312
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1446292
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1199
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1432362
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_836399
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_939068
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1678158
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_234026
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_14895
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_707184
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_360823
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_893652
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_858275
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_237938
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1191057
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_596855
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1069090
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1636806
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1369511
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_866638
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_194372
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1439648
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_829693
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1191492
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_850471
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_6566
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_469811
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_875102
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1594768
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_90533
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1674498
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1518240
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_936234
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1550756
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1177355
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1803715
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_modified,MAG_1,raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_10_k141_1768583
