clean_MAG,MAG,OTU_ID,Indicator taxa,host
MAG_35,raw-080613-5-ph_rerun_bin_50,mOTU_3231,*(P) Bacillota; (G) Streptococcus*,Phyllostomus hastatus
MAG_53,raw-080813-7-mc_bin_11,mOTU_139510,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_82739,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_116026,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_125513,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_38444,*(P) Bacillota; (G) Enterococcus_A*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_112895,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_31164,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_170131,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_78941,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_170170,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_6572,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_97921,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_77440,*(P) Bacillota; (F) Enterococcaceae*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_98740,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_104981,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_48152,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_153611,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_24449,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_19284,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_143800,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_157948,*(P) Bacillota; (S) Enterococcus_A alishanensis*,Mimon crenulatum
MAG_53,raw-080813-7-mc_bin_11,mOTU_3086,*(P) Bacillota; (F) Enterococcaceae*,Mimon crenulatum
MAG_54,raw-080813-7-mc_bin_12,mOTU_97936,*(P) Bacillota; (G) Enterococcus*,Mimon crenulatum
MAG_55,raw-080813-7-mc_bin_13,mOTU_86809,*(P) Bacillota; (S) Enterococcus dunnyi*,Mimon crenulatum
MAG_55,raw-080813-7-mc_bin_13,mOTU_5026,*(P) Bacillota; (G) Enterococcus*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_108193,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_111526,*(P) Actinomycetota; (S) Corynebacterium mycetoides*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_75115,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_142824,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_72644,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_152962,*(P) Actinomycetota; (G) Tsukamurella*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_148840,*(P) Nanoarchaeota; (F) GW2011-AR1*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_117500,*(P) Halobacteriota; (O) Methanomicrobiales*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_39998,*(P) Actinomycetota; (C) Actinomycetes*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_102601,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_11392,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_59907,*(P) Actinomycetota; (F) Mycobacteriaceae*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_150592,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_32616,*(P) Actinomycetota; (S) Corynebacterium frankenforstense*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_147573,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
MAG_56,raw-080813-7-mc_bin_17,mOTU_87910,*(P) Actinomycetota; (G) Corynebacterium*,Mimon crenulatum
