MAG,clean_MAG
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_3_modified,MAG_25
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_40_modified,MAG_26
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_41_modified,MAG_27
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_42_modified,MAG_28
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_43_modified,MAG_29
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_44_modified,MAG_30
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_46_modified,MAG_31
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_47_modified,MAG_32
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_48_modified,MAG_33
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_49_modified,MAG_34
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_50_modified,MAG_35
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_52_modified,MAG_36
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_53_modified,MAG_37
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_55_modified,MAG_38
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_56_modified,MAG_39
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_58_modified,MAG_40
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_59_modified,MAG_41
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_5_modified,MAG_42
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_63_modified,MAG_43
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_6_modified,MAG_44
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_72_modified,MAG_45
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_7_modified,MAG_46
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_86_modified,MAG_47
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_8_modified,MAG_48
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_93_modified,MAG_49
raw-080813-7-mc_bin_7_modified,MAG_50
raw-080813-7-mc_bin_9_modified,MAG_51
raw-080813-7-mc_raw-080813-7-mc_bin_10_modified,MAG_52
raw-080813-7-mc_raw-080813-7-mc_bin_11_modified,MAG_53
raw-080813-7-mc_raw-080813-7-mc_bin_12_modified,MAG_54
raw-080813-7-mc_raw-080813-7-mc_bin_13_modified,MAG_55
raw-080813-7-mc_raw-080813-7-mc_bin_17_modified,MAG_56
raw-080813-7-mc_raw-080813-7-mc_bin_18_modified,MAG_57
raw-080813-7-mc_raw-080813-7-mc_bin_24_modified,MAG_58
raw-080813-7-mc_raw-080813-7-mc_bin_25_modified,MAG_59
raw-080813-7-mc_raw-080813-7-mc_bin_26_modified,MAG_60
raw-080813-7-mc_raw-080813-7-mc_bin_27_modified,MAG_61
raw-080813-7-mc_raw-080813-7-mc_bin_30_modified,MAG_62
raw-080913-2_bin_100_modified,MAG_63
raw-080913-2_bin_103_modified,MAG_64
raw-080913-2_bin_105_modified,MAG_65
raw-080913-2_bin_106_modified,MAG_66
raw-080913-2_bin_107_modified,MAG_67
raw-080913-2_bin_108_modified,MAG_68
raw-080913-2_bin_109_modified,MAG_69
raw-080913-2_bin_111_modified,MAG_70
