clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_196,raw-080913-8-1-ph_bin_57,mOTU_140861,Pseudomonadota,Pasteurellaceae
MAG_9,raw-080613-5-ph_rerun_bin_20,mOTU_131195,Actinomycetota,Mycobacteriaceae
MAG_12,raw-080613-5-ph_rerun_bin_25,mOTU_140710,Actinomycetota,Mycobacteriaceae
MAG_22,raw-080613-5-ph_rerun_bin_35,mOTU_139489,Bacillota,Staphylococcaceae
MAG_30,raw-080613-5-ph_rerun_bin_44,mOTU_131009,Bacillota,Staphylococcaceae
MAG_12,raw-080613-5-ph_rerun_bin_25,mOTU_140591,Actinomycetota,Mycobacteriaceae
MAG_30,raw-080613-5-ph_rerun_bin_44,mOTU_140981,Bacillota,Staphylococcaceae
MAG_235,raw-080913-8-1-ph_rerun_bin_63,mOTU_128613,Bacillota,Gemellaceae
MAG_7,raw-080613-5-ph_rerun_bin_18,mOTU_132707,Actinomycetota,Dermatophilaceae
MAG_200,raw-080913-8-1-ph_bin_64,mOTU_135861,Bacillota,Streptococcaceae
MAG_22,raw-080613-5-ph_rerun_bin_35,mOTU_130905,Bacillota,Staphylococcaceae
MAG_14,raw-080613-5-ph_rerun_bin_27,mOTU_140673,Actinomycetota,Beutenbergiaceae
