MAG,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_145,9.046132764394434e-8,0,0,1.5921064205213312e-6,0,8.709623523922234e-10,0
MAG_146,0,0,0,1.6107959101188532e-6,0,0,0
MAG_147,0,0,0,3.485943088693712e-5,0,2.2518682030867085e-10,0
MAG_148,1.6637677619963987e-8,0,0,6.669964052638932e-7,0,1.2863659877555508e-11,0
MAG_149,1.2569074121656012e-8,0,2.1594223082050004e-9,7.496417392723036e-6,0,1.1533131023464764e-10,0
MAG_15,1.504251930009395e-7,0,7.362947192268851e-9,1.4943832812354258e-8,0,1.7179560566878604e-6,3.992581343790349e-8
MAG_150,1.8583904734435021e-6,4.1036143648797626e-7,3.342713012925744e-8,2.1335213650403326e-5,0,8.286757975723145e-8,1.498307394652804e-10
MAG_151,9.986081630581328e-5,2.861851726008113e-6,4.17061494769946e-6,2.4714192126111686e-5,0,3.1637861746894366e-9,1.2663908797846386e-9
MAG_152,6.182409388717918e-10,0,0,1.8072612539489558e-5,0,0,0
MAG_153,9.250512853377726e-5,9.38567914785533e-4,3.5946193508473774e-8,3.2202249123937273e-5,0,7.24916011557039e-10,1.0342484372500865e-7
MAG_154,0,0,2.2750434428344334e-8,1.4130060946287248e-5,0,2.3786453289106177e-11,1.583138354240552e-11
MAG_155,2.9763330999947047e-8,4.4249866938555467e-10,5.768810740531694e-10,2.2976063345330725e-5,0,2.157976826170849e-11,0
MAG_156,0,0,0,9.04461782082628e-6,0,0,0
MAG_157,0,0,0,6.21652753523605e-7,0,0,0
MAG_158,1.7827218590203903e-8,0,0,1.1383552686322477e-5,0,1.5811961867647166e-9,0
MAG_159,5.092796516662087e-9,5.2120972306014255e-8,3.654055664762735e-7,1.9541327528133548e-6,0,1.0421078883728387e-10,1.3334876799348057e-10
MAG_16,0,2.9879412162288506e-7,0,0,0,1.3338214392520029e-6,6.806585140587302e-7
